"","RegionID","YearBuilt","CountStructures"
"291","16927","2006",84
"292","275941","1912",84
"293","29812","1959",84
"294","182086","1940",83
"295","189019","2004",83
"296","273483","2010",83
"297","29748","1915",83
"298","43998","1916",83
"299","55451","1950",83
"300","4748","1905",81
"301","4748","1920",81
"302","49764","1908",81
"303","55451","1960",81
"304","762011","1931",81
"305","16927","1978",80
"306","189019","2006",80
"307","21156","1950",80
"308","21156","2013",80
"309","275707","1885",80
"310","16521","1953",79
"311","275707","1870",79
"312","32508","1969",79
"313","33500","1952",79
"314","33500","1955",79
"315","43998","1943",79
"316","43998","1954",79
"317","760928","1939",79
"318","273483","1900",78
"319","275707","1915",78
"320","42217","1918",78
"321","43998","1950",78
"322","189019","1915",77
"323","189019","1997",77
"324","21156","2010",77
"325","272945","1910",77
"326","275707","1905",77
"327","276619","2003",77
"328","32508","1963",77
"329","49764","1963",77
"330","16927","2007",76
"331","182086","1965",76
"332","189019","1907",76
"333","273483","2011",76
"334","274157","1931",76
"335","275707","2007",76
"336","189019","2008",75
"337","275941","1930",75
"338","29210","1895",75
"339","42217","1981",75
"340","275833","1926",74
"341","275833","1932",74
"342","29748","1956",74
"343","29812","1955",74
"344","764254","1877",74
"345","188830","1958",73
"346","189019","2003",73
"347","21156","1989",73
"348","273910","1994",73
"349","275941","1923",73
"350","275941","1926",73
"351","275941","2006",73
"352","34896","1916",73
"353","415711","1905",73
"354","4748","1979",73
"355","189158","1989",72
"356","189158","1992",72
"357","275941","1929",72
"358","276619","1902",72
"359","276653","2005",72
"360","29812","1958",72
"361","33500","1951",72
"362","396169","1997",72
"363","42217","1988",72
"364","189158","1991",71
"365","18995","1973",71
"366","276619","1915",71
"367","32508","1973",71
"368","4748","1956",71
"369","16927","1982",70
"370","189694","1950",70
"371","21156","1956",70
"372","22667","1963",70
"373","275707","2008",70
"374","43998","1946",70
"375","16927","1983",69
"376","190233","1985",69
"377","274157","1880",69
"378","43998","1940",69
"379","189019","1924",68
"380","21156","1987",68
"381","264176","1960",68
"382","274302","1996",68
"383","275833","1912",68
"384","42217","1978",68
"385","4748","1947",68
"386","274157","2007",67
"387","275941","1921",67
"388","4748","0",67
"389","16521","1949",66
"390","16521","1958",66
"391","16927","1958",66
"392","189694","1955",66
"393","18995","1959",66
"394","274157","2006",66
"395","29748","1959",66
"396","29812","1957",66
"397","32508","1971",66
"398","16521","1963",65
"399","16927","2008",65
"400","188264","1950",65
"401","189019","1905",65
"402","272945","2006",65
"403","275833","1910",65
"404","276619","1927",65
"405","29748","1986",65
"406","4748","1958",65
"407","762011","1990",65
"408","21156","1990",64
"409","22667","1929",64
"410","272945","1880",64
"411","273910","1995",64
"412","276619","2006",64
"413","276619","2007",64
"414","763343","0",64
"415","189019","1890",63
"416","275833","1924",63
"417","29210","1889",63
"418","415711","1910",63
"419","16927","1940",62
"420","21156","1955",62
"421","276619","1905",62
"422","29804","1997",62
"423","29812","1956",62
"424","4748","1948",62
"425","4748","1972",62
"426","275833","1900",61
"427","276653","1905",61
"428","49764","1949",61
"429","761759","1940",61
"430","189019","1995",60
"431","21156","2011",60
"432","276653","1890",60
"433","32508","1959",60
"434","49764","1947",60
"435","18995","1918",58
"436","273483","2004",58
"437","33500","1916",58
"438","33500","1953",58
"439","43998","1937",58
"440","760928","1929",58
"441","190233","1979",57
"442","274464","1927",57
"443","29210","1880",57
"444","29748","1960",57
"445","190205","1968",56
"446","21156","2015",56
"447","42217","1938",56
"448","274464","1918",55
"449","275707","2013",55
"450","276619","1897",55
"451","276619","2004",55
"452","276619","2008",55
"453","276653","1920",55
"454","43998","1921",55
"455","16521","1962",54
"456","16521","1977",54
"457","16927","2009",54
"458","189019","1923",54
"459","189019","1996",54
"460","274464","1932",54
"461","29210","1920",54
"462","29748","1952",54
"463","29812","1964",54
"464","32508","1958",54
"465","49764","1948",54
"466","188830","1933",53
"467","189019","1968",53
"468","189093","1955",53
"469","32508","1984",53
"470","4748","1940",53
"471","16521","1923",52
"472","16927","1991",52
"473","188830","1948",52
"474","18995","1982",52
"475","22667","0",52
"476","275941","1919",52
"477","42217","1928",52
"478","763344","0",52
"479","18995","1943",51
"480","275833","1967",51
"481","29210","1885",51
"482","29812","1950",51
"483","32508","1962",51
"484","43998","1984",51
"485","16521","1928",50
"486","16927","1976",50
"487","188385","1965",50
"488","189019","2001",50
"489","21156","1960",50
"490","274157","1920",50
"491","275941","1915",50
"492","4748","1910",50
"493","761759","1930",50
"494","762010","1985",50
"495","764254","1897",50
"496","764254","1900",50
"497","16927","1977",49
"498","188830","1955",49
"499","189019","2007",49
"500","760928","1940",49
"501","16521","1959",48
"502","189838","1955",48
"503","273483","1860",48
"504","29210","1925",48
"505","29748","1935",48
"506","29812","1961",48
"507","43998","1956",48
"508","4748","1916",48
"509","16521","1986",47
"510","21156","2012",47
"511","272945","2007",47
"512","29210","1899",47
"513","42217","2000",47
"514","764254","1800",47
"515","764254","1986",47
"516","16521","1933",46
"517","188830","1963",46
"518","274157","1915",46
"519","275833","1928",46
"520","276653","1929",46
"521","760929","1939",46
"522","189019","1912",45
"523","18995","1913",45
"524","18995","1938",45
"525","21156","2001",45
"526","22667","1928",45
"527","273483","2009",45
"528","276619","2002",45
"529","29748","1967",45
"530","32508","1975",45
"531","4748","1959",45
"532","49764","1973",45
"533","760929","1929",45
"534","18995","1953",44
"535","272945","2004",44
"536","273483","1878",44
"537","273483","1984",44
"538","274157","1914",44
"539","274464","1880",44
"540","275833","1897",44
"541","29804","1962",44
"542","29812","1965",44
"543","396169","1989",44
"544","49764","1923",44
"545","55451","1968",44
"546","760927","1940",44
"547","16927","2013",43
"548","21156","1958",43
"549","21156","1975",43
"550","21500","1890",43
"551","21500","1950",43
"552","272945","2005",43
"553","273483","1877",43
"554","274157","1923",43
"555","275941","1928",43
"556","396668","1989",43
"557","43998","1926",43
"558","4748","1944",43
"559","51722","1900",43
"560","51722","1945",43
"561","55451","1964",43
"562","763343","1920",43
"563","20428","1946",42
"564","21156","1988",42
"565","272945","1993",42
"566","273483","1884",42
"567","274464","1951",42
"568","29804","0",42
"569","29812","1962",42
"570","30215","1935",42
"571","415711","0",42
"572","42217","1992",42
"573","760928","1948",42
"574","16521","1948",41
"575","189019","1917",41
"576","760928","1938",41
"577","16521","1952",40
"578","16521","1961",40
"579","189019","1911",40
"580","189019","1962",40
"581","22667","1926",40
"582","274157","2004",40
"583","274302","1995",40
"584","276619","1925",40
"585","29748","1987",40
"586","30215","1910",40
"587","34896","1942",40
"588","43998","1942",40
"589","4748","1963",40
"590","49764","0",40
"591","51722","2007",40
"592","188830","1984",39
"593","189019","1880",39
"594","20428","1950",39
"595","22667","1920",39
"596","275707","2014",39
"597","275833","2008",39
"598","275941","1910",39
"599","275941","1937",39
"600","276653","1922",39
"601","32508","1980",39
"602","42217","1943",39
"603","43998","1920",39
"604","4748","1946",39
"605","55451","2014",39
"606","761759","1915",39
"607","16521","1950",38
"608","188830","0",38
"609","189019","1963",38
"610","272945","1895",38
"611","275707","1926",38
"612","275833","1929",38
"613","276619","2005",38
"614","29748","1940",38
"615","29804","1996",38
"616","32508","1972",38
"617","43998","1948",38
"618","4748","1930",38
"619","4748","1957",38
"620","4748","1960",38
"621","4748","1980",38
"622","55451","1970",38
"623","762010","1997",38
"624","763343","1930",38
"625","18995","1968",37
"626","190233","1978",37
"627","21156","1970",37
"628","245503","1989",37
"629","274157","1912",37
"630","32508","0",37
"631","42217","2002",37
"632","49764","1953",37
"633","55451","1978",37
"634","16927","1979",36
"635","18995","0",36
"636","190233","1994",36
"637","272945","1994",36
"638","275707","2004",36
"639","275707","2010",36
"640","275941","1914",36
"641","33500","1950",36
"642","34896","1970",36
"643","4748","1906",36
"644","760928","1949",36
"645","16927","2010",35
