"","RegionID","YearBuilt","LU_desc","CountStructures"
"1576","249797","1986","OFFICE, 1 STORY",3
"1577","249797","1987","OFFICE, 1 STORY",3
"1578","249797","1987","PROFESSIONAL SERVICE BUILDING",3
"1579","249797","1988","SINGLE FAMILY",3
"1580","249797","1988","STORE, ONE STORY",3
"1581","249797","1989","PROFESSIONAL SERVICE BUILDING",3
"1582","249797","1990","SINGLE FAMILY",3
"1583","249797","1993","PROFESSIONAL SERVICE BUILDING",3
"1584","249797","1998","STORE, ONE STORY",3
"1585","249797","2000","PROFESSIONAL SERVICE BUILDING",3
"1586","249797","2001","OFFICE, 1 STORY",3
"1587","249797","2009","PROFESSIONAL SERVICE BUILDING",3
"1588","249797","2009","RESTAURANT, CAFETERIA",3
"1589","249797","2011","SINGLE FAMILY",3
"1590","249797","2013","SINGLE FAMILY",3
"1591","262277","0","FORESTS, PARKS, RECREATIONAL AREAS",3
"1592","262277","0","RIGHT-OF-WAY, STREETS, ROADS",3
"1593","262277","0","STATE PROPERTY",3
"1594","262277","1986","SINGLE FAMILY",3
"1595","262277","2001","SINGLE FAMILY",3
"1596","262277","2005","SINGLE FAMILY",3
"1597","764081","0","FORESTS, PARKS, RECREATIONAL AREAS",3
"1598","764081","0","MISC. RESIDENTIAL",3
"1599","764081","0","VACANT RESIDENTIAL",3
"1600","764081","1902","OFFICE BUILDING",3
"1601","764081","1907","SINGLE FAMILY",3
"1602","764081","1908","OFFICE BUILDING",3
"1603","764081","1909","SINGLE FAMILY",3
"1604","764081","1911","SINGLE FAMILY",3
"1605","764081","1914","SINGLE FAMILY",3
"1606","764081","1928","OFFICE, 1 STORY",3
"1607","764081","1933","MULTI-FAMILY < 10",3
"1608","764081","1935","MULTI-FAMILY < 10",3
"1609","764081","1958","PROFESSIONAL SERVICE BUILDING",3
"1610","764081","1961","OFFICE, 1 STORY",3
"1611","764081","1968","SINGLE FAMILY",3
"1612","764081","1970","CHURCHES",3
"1613","764081","1982","SINGLE FAMILY",3
"1614","764081","1985","SINGLE FAMILY",3
"1615","764081","1987","SINGLE FAMILY",3
"1616","764081","1990","SINGLE FAMILY",3
"1617","764081","1992","SINGLE FAMILY",3
"1618","764081","2000","MULTI-FAMILY < 10",3
"1619","764081","2001","SINGLE FAMILY",3
"1620","764081","2013","SINGLE FAMILY",3
"1621","764082","1900","OFFICE, 1 STORY",3
"1622","764082","1906","SINGLE FAMILY",3
"1623","764082","1928","MULTI-FAMILY < 10",3
"1624","764082","1928","OFFICE, 1 STORY",3
"1625","764082","1929","SINGLE FAMILY",3
"1626","764082","1937","SINGLE FAMILY",3
"1627","764082","1951","SINGLE FAMILY",3
"1628","764082","1955","OFFICE, 1 STORY",3
"1629","764082","1960","CHURCHES",3
"1630","764082","1979","REPAIR SERVICE SHOP",3
"1631","764082","1980","SINGLE FAMILY",3
"1632","764082","1986","STORE, ONE STORY",3
"1633","764082","1987","MULTI-FAMILY < 10",3
"1634","764082","1989","SINGLE FAMILY",3
"1635","764082","1990","SINGLE FAMILY",3
"1636","764082","1992","SINGLE FAMILY",3
"1637","764082","1993","SINGLE FAMILY",3
"1638","764082","2001","SINGLE FAMILY",3
"1639","764083","0","MOBILE HOMES",3
"1640","764083","1920","SINGLE FAMILY",3
"1641","764083","1943","SINGLE FAMILY",3
"1642","764083","1947","SINGLE FAMILY",3
"1643","764083","1971","SINGLE FAMILY",3
"1644","764083","1973","SINGLE FAMILY",3
"1645","764083","1980","SINGLE FAMILY",3
"1646","764083","1984","WAREHOUSING",3
"1647","764083","2007","MULTI-FAMILY < 10",3
"1648","764083","2013","SINGLE FAMILY",3
"1649","764084","0","RIGHT-OF-WAY, STREETS, ROADS",3
"1650","764084","2001","SINGLE FAMILY",3
"1651","764085","1945","SINGLE FAMILY",3
"1652","764085","1971","STORE, ONE STORY",3
"1653","764085","1977","PROFESSIONAL SERVICE BUILDING",3
"1654","764085","1998","SINGLE FAMILY",3
"1655","764085","2014","SINGLE FAMILY",3
"1656","764086","0","MORTUARIES, CEMETERIES, ETC.",3
"1657","764086","1957","SINGLE FAMILY",3
"1658","764086","1984","OFFICE, 1 STORY",3
"1659","764086","2005","SINGLE FAMILY",3
"1660","764086","2007","SINGLE FAMILY",3
"1661","764086","2011","SINGLE FAMILY",3
"1662","764087","0","SEWAGE DISPOSAL, WASTE LANDS, MARSH",3
"1663","764087","1964","SINGLE FAMILY",3
"1664","764087","1999","SINGLE FAMILY",3
"1665","764087","2000","SINGLE FAMILY",3
"1666","764087","2007","SINGLE FAMILY",3
"1667","764088","1992","OFFICE, 1 STORY",3
"1668","764088","2000","PROFESSIONAL SERVICE BUILDING",3
"1669","764088","2004","SINGLE FAMILY",3
"1670","764088","2007","SINGLE FAMILY",3
"1671","764088","2008","SINGLE FAMILY",3
"1672","764089","0","UTILITIES, GAS & ELECTRICITY",3
"1673","764089","1930","SINGLE FAMILY",3
"1674","764089","1939","SINGLE FAMILY",3
"1675","764089","1941","SINGLE FAMILY",3
"1676","764089","1942","SINGLE FAMILY",3
"1677","764089","1966","RESTAURANT, CAFETERIA",3
"1678","764089","1967","SINGLE FAMILY",3
"1679","764089","1974","SINGLE FAMILY",3
"1680","764089","1975","SINGLE FAMILY",3
"1681","764089","1982","SINGLE FAMILY",3
"1682","764089","1990","SINGLE FAMILY",3
"1683","764089","1994","SINGLE FAMILY",3
"1684","764089","2001","SINGLE FAMILY",3
"1685","764089","2003","SINGLE FAMILY",3
"1686","764089","2006","SINGLE FAMILY",3
"1687","764089","2007","SINGLE FAMILY",3
"1688","764089","2009","SINGLE FAMILY",3
"1689","764089","2010","SINGLE FAMILY",3
"1690","764089","2011","SINGLE FAMILY",3
"1691","764089","2012","SINGLE FAMILY",3
"1692","764090","0","STATE PROPERTY",3
"1693","764090","1901","OFFICE, 1 STORY",3
"1694","764090","1962","OFFICE, 1 STORY",3
"1695","764090","1975","SINGLE FAMILY",3
"1696","764090","1986","OFFICE BUILDING",3
"1697","764090","1996","SINGLE FAMILY",3
"1698","764090","1997","SINGLE FAMILY",3
"1699","764090","1999","SINGLE FAMILY",3
"1700","764090","2007","OFFICE BUILDING",3
"1701","764090","2013","SINGLE FAMILY",3
"1702","764091","1901","OFFICE BUILDING",3
"1703","764091","1938","OFFICE, 1 STORY",3
"1704","764091","1946","OFFICE, 1 STORY",3
"1705","764091","1965","OFFICE, 1 STORY",3
"1706","764091","1986","OFFICE BUILDING",3
"1707","764091","1999","SINGLE FAMILY",3
"1708","764091","2000","SINGLE FAMILY",3
"1709","764091","2001","SINGLE FAMILY",3
"1710","764092","0","FORESTS, PARKS, RECREATIONAL AREAS",3
"1711","764092","1905","SINGLE FAMILY",3
"1712","764092","1906","SINGLE FAMILY",3
"1713","764092","1910","SINGLE FAMILY",3
"1714","764092","1935","SINGLE FAMILY",3
"1715","764092","1946","MULTI-FAMILY < 10",3
"1716","764092","1946","OFFICE, 1 STORY",3
"1717","764092","1954","SINGLE FAMILY",3
"1718","764092","1956","OFFICE, 1 STORY",3
"1719","764092","1957","REPAIR SERVICE SHOP",3
"1720","764092","1958","SINGLE FAMILY",3
"1721","764092","1965","SINGLE FAMILY",3
"1722","764092","1968","SINGLE FAMILY",3
"1723","764092","1970","MULTI-FAMILY < 10",3
"1724","764092","1971","SINGLE FAMILY",3
"1725","764092","1978","SINGLE FAMILY",3
"1726","764092","1997","MULTI-FAMILY < 10",3
"1727","764092","2002","SINGLE FAMILY",3
"1728","764092","2013","SINGLE FAMILY",3
"1729","764093","0","MOBILE HOMES",3
"1730","764093","1940","MULTI-FAMILY < 10",3
"1731","764093","1943","MULTI-FAMILY < 10",3
